USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1 225912  9136 ?        Ss   2024   0:03 /sbin/init
root           2  0.0  0.0      0     0 ?        S    2024   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   2024   0:00 [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   2024   0:00 [rcu_par_gp]
root           6  0.0  0.0      0     0 ?        I<   2024   0:00 [kworker/0:0H]
root           8  0.0  0.0      0     0 ?        I<   2024   0:00 [mm_percpu_wq]
root           9  0.0  0.0      0     0 ?        S    2024   0:00 [ksoftirqd/0]
root          10  0.0  0.0      0     0 ?        I    2024   0:00 [rcu_sched]
root          11  0.0  0.0      0     0 ?        S    2024   0:00 [migration/0]
root          12  0.0  0.0      0     0 ?        S    2024   0:00 [idle_inject/0]
root          13  0.0  0.0      0     0 ?        S    2024   0:00 [cpuhp/0]
root          14  0.0  0.0      0     0 ?        S    2024   0:00 [cpuhp/1]
root          15  0.0  0.0      0     0 ?        S    2024   0:00 [migration/1]
root          16  0.0  0.0      0     0 ?        S    2024   0:00 [ksoftirqd/1]
root          18  0.0  0.0      0     0 ?        I<   2024   0:00 [kworker/1:0H]
root          19  0.0  0.0      0     0 ?        S    2024   0:00 [cpuhp/2]
root          20  0.0  0.0      0     0 ?        S    2024   0:00 [migration/2]
root          21  0.0  0.0      0     0 ?        S    2024   0:00 [ksoftirqd/2]
root          23  0.0  0.0      0     0 ?        I<   2024   0:00 [kworker/2:0H]
root          24  0.0  0.0      0     0 ?        S    2024   0:00 [cpuhp/3]
root          25  0.0  0.0      0     0 ?        S    2024   0:00 [migration/3]
root          26  0.0  0.0      0     0 ?        S    2024   0:00 [ksoftirqd/3]
root          28  0.0  0.0      0     0 ?        I<   2024   0:00 [kworker/3:0H]
root          29  0.0  0.0      0     0 ?        S    2024   0:00 [kdevtmpfs]
root          30  0.0  0.0      0     0 ?        I<   2024   0:00 [netns]
root          31  0.0  0.0      0     0 ?        S    2024   0:00 [rcu_tasks_kthre]
root          32  0.0  0.0      0     0 ?        I<   2024   0:00 [kauditd]
user1       1932  0.1  0.3  45812  8892 pts/0    Ss   2024   0:00 /bin/bash
user1       1968  0.1  0.1  39180  4856 pts/0    R+   2024   0:00 ps aux
